"Category","Average Minimum Surface Air Temperature (°C)","Average Mean Surface Air Temperature (°C)","Average Maximum Surface Air Temperature (°C)","Precipitation (mm)"
"Jan",20.45,25.69,30.97,11.78
"Feb",21.44,26.86,32.34,16.01
"Mar",23.33,28.55,33.83,50.24
"Apr",24.19,29.31,34.47,87.78
"May",24.25,28.83,33.46,169.82
"Jun",23.92,28.11,32.35,248.82
"Jul",23.85,27.53,31.26,278.93
"Aug",23.69,27.42,31.21,308.24
"Sep",23.58,27.18,30.84,311.32
"Oct",23.16,26.86,30.6,235.55
"Nov",22.44,26.56,30.74,93.99
"Dec",20.96,25.55,30.19,25.15
