year,area_harvested,production,yield_kg_ha,avg_temp,rainfall_mm,high_yield
1990,1855000.0,2500000.0,1347.7,27.67,1892.14,0
1991,1719000.0,2400000.0,1396.2,27.66,1708.31,0
1992,1685400.0,2221000.0,1317.8,27.37,1590.62,0
1993,1823625.0,2383350.0,1306.9,27.32,1463.14,0
1994,1494600.0,2223500.0,1487.7,27.41,2007.18,0
1995,1924000.0,3447800.0,1792.0,27.27,1879.82,0
1996,1879000.0,3404000.0,1811.6,26.86,1872.75,0
1997,1928689.0,3414917.0,1770.6,27.38,1625.49,0
1998,1962566.0,3509871.0,1788.4,27.99,1843.86,0
1999,2079442.0,4040900.0,1943.3,26.78,1963.3,0
2000,1903159.0,4026092.0,2115.5,27.04,2031.52,0
2001,1980295.0,4099016.0,2069.9,27.2,1908.67,0
2002,1994645.0,3822509.0,1916.4,27.35,1817.02,0
2003,2242036.0,4710957.0,2101.2,27.26,1775.98,0
2004,2109050.0,4170284.0,1977.3,27.21,1681.93,0
2005,2414500.0,5986200.0,2479.3,27.37,1725.55,0
2006,2516415.0,6264123.0,2489.3,27.3,2047.14,0
2007,2566000.0,6727000.0,2621.6,27.18,2220.53,1
2008,2613363.0,7175473.0,2745.7,26.81,1779.73,1
2009,2674603.0,7585870.0,2836.3,27.16,1863.05,1
2010,2776507.0,8245320.0,2969.7,27.76,1732.85,1
2011,2968529.0,8779000.0,2957.4,26.78,2117.84,1
2012,3007545.0,9290940.0,3089.2,27.63,1822.66,1
2013,2969000.0,9390000.0,3162.7,27.25,2098.72,1
2014,3029000.0,9324000.0,3078.2,27.35,1848.84,1
2015,3026000.0,9335000.0,3084.9,27.76,1654.44,1
2016,3100000.0,9952000.0,3210.3,27.99,1736.61,1
2017,3190000.0,10518000.0,3297.2,27.41,2035.7,1
2018,3248000.0,10892000.0,3353.4,27.43,1763.75,1
2019,3264000.0,10885700.0,3335.1,27.95,1698.42,1
2020,3269000.0,10936000.0,3345.4,27.87,1813.72,1
2021,3498000.0,12207000.0,3489.7,27.37,2101.61,1
2022,3341800.0,11851700.0,3546.5,27.21,2169.78,1
2023,3661200.0,13186400.0,3601.7,27.98,1935.11,1
2024,3897096.0,14200000.0,3643.7,28.25,1851.1,1
