"Category","Precipitation (Annual Mean mm)","5-year smooth (Gaussian Smooth)"
1901,1826.23,1791.14
1902,1792.8,1809.57
1903,1811.53,1826.53
1904,1832.42,1840.6
1905,1849.92,1850.23
1906,1803.19,1854
1907,1814.46,1850.61
1908,1921.51,1841
1909,1888.76,1827.64
1910,1941.79,1812.98
1911,1575.68,1799.51
1912,1846.66,1789.63
1913,1698.61,1784.45
1914,1717.13,1782.56
1915,1864.23,1782.4
1916,1839.82,1782.39
1917,2042.51,1780.95
1918,1686.85,1776.92
1919,1631.36,1771.05
1920,1664.25,1764.63
1921,1728.01,1759
1922,1572.2,1755.44
1923,1986.73,1755.11
1924,1811.91,1757.08
1925,1822.84,1758.83
1926,1891.53,1757.8
1927,1635.23,1751.44
1928,1640.27,1737.18
1929,1721.47,1714.87
1930,1639.23,1688.66
1931,1681.53,1663.18
1932,1628.62,1643.03
1933,1630.07,1632.98
1934,1705.49,1636.58
1935,1771.07,1652.02
1936,1556.84,1675.86
1937,1585.16,1704.43
1938,1886.03,1734.23
1939,1769.64,1761.87
1940,1589.61,1786.27
1941,1914.94,1808.08
1942,1961.68,1828.2
1943,1730.78,1847.48
1944,1877.21,1866.81
1945,2009.2,1886.08
1946,1859.11,1903.62
1947,1803.12,1917.45
1948,1885.3,1925.64
1949,1922.75,1926.16
1950,1899.03,1917.72
1951,2027.64,1902.83
1952,1955.14,1885.35
1953,1890.08,1869.28
1954,1711.21,1858.49
1955,1888.49,1856.69
1956,1932.87,1863.62
1957,1889.84,1875.09
1958,1804.05,1886.86
1959,1704.94,1894.65
1960,1977.88,1894.19
1961,2070.78,1883.36
1962,1761.52,1865.27
1963,1930.42,1843.75
1964,1822.63,1822.59
1965,1715.79,1805.74
1966,2000.19,1796.42
1967,1614.33,1794.06
1968,1659.21,1796.51
1969,1875.11,1801.57
1970,1928.37,1807.08
1971,1728.66,1810.9
1972,1915.61,1812.3
1973,1588.91,1812.04
1974,1978.04,1810.93
1975,1878.15,1809.78
1976,1901,1809.41
1977,1540.09,1810.63
1978,1886.24,1814.24
1979,1770.35,1821.01
1980,1956.99,1831.78
1981,1770.71,1847.27
1982,1769.08,1867.79
1983,2081.6,1889.73
1984,1944.71,1907.67
1985,1852.47,1916.04
1986,1859.51,1909.41
1987,1717.88,1882.56
1988,2038.54,1837.23
1989,1698.35,1784.09
1990,1892.14,1733.93
1991,1708.31,1697.65
1992,1590.62,1686.15
1993,1463.14,1705.57
1994,2007.18,1746.92
1995,1879.82,1798.44
1996,1872.75,1848.46
1997,1625.49,1884.91
1998,1843.86,1897.56
1999,1963.3,1888.8
2000,2031.52,1867.73
2001,1908.67,1843.7
2002,1817.02,1825.89
2003,1775.98,1823.37
2004,1681.93,1838.58
2005,1725.55,1864.91
2006,2047.14,1895.22
2007,2220.53,1922.38
2008,1779.73,1939.27
2009,1863.05,1940.82
2010,1732.85,1929.87
2011,2117.84,1910.86
2012,1822.66,1888.16
2013,2098.72,1866.37
2014,1848.84,1849.6
2015,1654.44,1839.4
2016,1736.61,1835.69
2017,2035.7,1838.4
2018,1763.75,1847.44
2019,1698.42,1862.7
2020,1813.72,1883.74
2021,2101.61,1909.36
2022,2169.78,1938.43
2023,1935.11,1969.82
2024,1851.1,2002.45
