,Average Mean Surface Air Temperature (°C)
1901,26.85
1902,26.85
1903,26.73
1904,26.65
1905,27.16
1906,27.17
1907,26.74
1908,26.77
1909,26.79
1910,26.73
1911,26.95
1912,26.87
1913,26.73
1914,26.82
1915,26.72
1916,26.59
1917,26.61
1918,26.79
1919,26.85
1920,26.78
1921,26.6
1922,26.73
1923,26.63
1924,26.7
1925,26.67
1926,26.85
1927,26.71
1928,26.78
1929,26.78
1930,26.76
1931,26.93
1932,26.82
1933,26.85
1934,26.69
1935,27.02
1936,26.81
1937,26.89
1938,26.43
1939,26.56
1940,27.07
1941,27.79
1942,26.85
1943,26.69
1944,26.86
1945,26.87
1946,26.95
1947,27.19
1948,26.86
1949,26.9
1950,26.68
1951,26.81
1952,26.76
1953,26.78
1954,26.76
1955,26.26
1956,26.23
1957,26.92
1958,26.93
1959,27.02
1960,27.08
1961,26.77
1962,26.63
1963,26.6
1964,26.7
1965,26.81
1966,27.22
1967,26.6
1968,26.92
1969,27.09
1970,26.86
1971,26.28
1972,26.98
1973,27.05
1974,26.55
1975,26.71
1976,26.66
1977,27.01
1978,27.18
1979,27.51
1980,27.18
1981,26.41
1982,26.55
1983,26.89
1984,26.58
1985,26.64
1986,26.61
1987,27.5
1988,27.27
1989,27.31
1990,27.67
1991,27.66
1992,27.37
1993,27.32
1994,27.41
1995,27.27
1996,26.86
1997,27.38
1998,27.99
1999,26.78
2000,27.04
2001,27.2
2002,27.35
2003,27.26
2004,27.21
2005,27.37
2006,27.3
2007,27.18
2008,26.81
2009,27.16
2010,27.76
2011,26.78
2012,27.63
2013,27.25
2014,27.35
2015,27.76
2016,27.99
2017,27.41
2018,27.43
2019,27.95
2020,27.87
2021,27.37
2022,27.21
2023,27.98
2024,28.25
